time, event, related key, current phrase, current input
5426, Pause Ended, Enter, never too rich and never too thin, 
5441, Key Selected, Enter, never too rich and never too thin, 
5505, Key Deselected, Enter, never too rich and never too thin, 
5507, Key Selected, Y, never too rich and never too thin, 
5538, Key Deselected, Y, never too rich and never too thin, 
5556, Key Deselected, Y, never too rich and never too thin, 
5572, Key Deselected, Y, never too rich and never too thin, 
5589, Key Deselected, Y, never too rich and never too thin, 
5605, Key Deselected, Y, never too rich and never too thin, 
5623, Key Deselected, Y, never too rich and never too thin, 
5639, Key Deselected, Y, never too rich and never too thin, 
5656, Key Deselected, Y, never too rich and never too thin, 
5672, Key Deselected, Y, never too rich and never too thin, 
5688, Key Deselected, Y, never too rich and never too thin, 
5705, Key Deselected, Y, never too rich and never too thin, 
5707, Key Selected, Q, never too rich and never too thin, 
5741, Key Deselected, Q, never too rich and never too thin, 
5745, Key Selected, W, never too rich and never too thin, 
5758, Key Deselected, W, never too rich and never too thin, 
5762, Key Selected, Q, never too rich and never too thin, 
5874, Key Deselected, Q, never too rich and never too thin, 
5892, Key Deselected, Q, never too rich and never too thin, 
5906, Key Deselected, Q, never too rich and never too thin, 
5922, Key Deselected, Q, never too rich and never too thin, 
5938, Key Deselected, Q, never too rich and never too thin, 
5956, Key Deselected, Q, never too rich and never too thin, 
5972, Key Deselected, Q, never too rich and never too thin, 
5989, Key Deselected, Q, never too rich and never too thin, 
6005, Key Deselected, Q, never too rich and never too thin, 
6022, Key Deselected, Q, never too rich and never too thin, 
6038, Key Deselected, Q, never too rich and never too thin, 
6056, Key Deselected, Q, never too rich and never too thin, 
6072, Key Deselected, Q, never too rich and never too thin, 
6089, Key Deselected, Q, never too rich and never too thin, 
6105, Key Deselected, Q, never too rich and never too thin, 
6122, Key Deselected, Q, never too rich and never too thin, 
6136, Key Deselected, Q, never too rich and never too thin, 
6153, Key Deselected, Q, never too rich and never too thin, 
6170, Key Deselected, Q, never too rich and never too thin, 
6187, Key Deselected, Q, never too rich and never too thin, 
6203, Key Deselected, Q, never too rich and never too thin, 
6220, Key Deselected, Q, never too rich and never too thin, 
6237, Key Deselected, Q, never too rich and never too thin, 
6255, Key Deselected, Q, never too rich and never too thin, 
6272, Key Deselected, Q, never too rich and never too thin, 
6289, Key Deselected, Q, never too rich and never too thin, 
6305, Key Deselected, Q, never too rich and never too thin, 
6307, Key Selected, X, never too rich and never too thin, 
6424, Key Deselected, X, never too rich and never too thin, 
6428, Key Selected, C, never too rich and never too thin, 
6440, Key Deselected, C, never too rich and never too thin, 
6444, Key Selected, B, never too rich and never too thin, 
6707, Key Deselected, B, never too rich and never too thin, 
6711, Key Selected, N, never too rich and never too thin, 
7270, Key Press, N, never too rich and never too thin, 
7473, Pause Ended, N, never too rich and never too thin, n
7491, Key Selected, N, never too rich and never too thin, n
7573, Key Deselected, N, never too rich and never too thin, n
7577, Key Selected, B, never too rich and never too thin, n
7806, Key Deselected, B, never too rich and never too thin, n
7810, Key Selected, E, never too rich and never too thin, n
8136, Key Deselected, E, never too rich and never too thin, n
8154, Key Deselected, E, never too rich and never too thin, n
8170, Key Deselected, E, never too rich and never too thin, n
8189, Key Deselected, E, never too rich and never too thin, n
8206, Key Deselected, E, never too rich and never too thin, n
8223, Key Deselected, E, never too rich and never too thin, n
8240, Key Deselected, E, never too rich and never too thin, n
8257, Key Deselected, E, never too rich and never too thin, n
8273, Key Deselected, E, never too rich and never too thin, n
8290, Key Deselected, E, never too rich and never too thin, n
8306, Key Deselected, E, never too rich and never too thin, n
8324, Key Deselected, E, never too rich and never too thin, n
8339, Key Deselected, E, never too rich and never too thin, n
8357, Key Deselected, E, never too rich and never too thin, n
8372, Key Deselected, E, never too rich and never too thin, n
8390, Key Deselected, E, never too rich and never too thin, n
8406, Key Deselected, E, never too rich and never too thin, n
8423, Key Deselected, E, never too rich and never too thin, n
8440, Key Deselected, E, never too rich and never too thin, n
8456, Key Deselected, E, never too rich and never too thin, n
8472, Key Deselected, E, never too rich and never too thin, n
8489, Key Deselected, E, never too rich and never too thin, n
8506, Key Deselected, E, never too rich and never too thin, n
8523, Key Deselected, E, never too rich and never too thin, n
8539, Key Deselected, E, never too rich and never too thin, n
8556, Key Deselected, E, never too rich and never too thin, n
8573, Key Deselected, E, never too rich and never too thin, n
8577, Key Selected, W, never too rich and never too thin, n
8839, Key Deselected, W, never too rich and never too thin, n
8843, Key Selected, E, never too rich and never too thin, n
8870, Key Deselected, E, never too rich and never too thin, n
8887, Key Deselected, E, never too rich and never too thin, n
8903, Key Deselected, E, never too rich and never too thin, n
8921, Key Deselected, E, never too rich and never too thin, n
8937, Key Deselected, E, never too rich and never too thin, n
8955, Key Deselected, E, never too rich and never too thin, n
8971, Key Deselected, E, never too rich and never too thin, n
8989, Key Deselected, E, never too rich and never too thin, n
9004, Key Deselected, E, never too rich and never too thin, n
9032, Key Deselected, E, never too rich and never too thin, n
9072, Key Deselected, E, never too rich and never too thin, n
9156, Key Deselected, E, never too rich and never too thin, n
9160, Key Selected, W, never too rich and never too thin, n
9172, Key Deselected, W, never too rich and never too thin, n
9188, Key Deselected, W, never too rich and never too thin, n
9223, Key Deselected, W, never too rich and never too thin, n
9227, Key Selected, E, never too rich and never too thin, n
9787, Key Press, E, never too rich and never too thin, n
9989, Pause Ended, E, never too rich and never too thin, ne
10005, Key Selected, E, never too rich and never too thin, ne
10038, Key Deselected, E, never too rich and never too thin, ne
10055, Key Deselected, E, never too rich and never too thin, ne
10071, Key Deselected, E, never too rich and never too thin, ne
10089, Key Deselected, E, never too rich and never too thin, ne
10105, Key Deselected, E, never too rich and never too thin, ne
10122, Key Deselected, E, never too rich and never too thin, ne
10138, Key Deselected, E, never too rich and never too thin, ne
10155, Key Deselected, E, never too rich and never too thin, ne
10170, Key Deselected, E, never too rich and never too thin, ne
10188, Key Deselected, E, never too rich and never too thin, ne
10192, Key Selected, B, never too rich and never too thin, ne
10204, Key Deselected, B, never too rich and never too thin, ne
10208, Key Selected, V, never too rich and never too thin, ne
10371, Key Deselected, V, never too rich and never too thin, ne
10388, Key Deselected, V, never too rich and never too thin, ne
10392, Key Selected, B, never too rich and never too thin, ne
10404, Key Deselected, B, never too rich and never too thin, ne
10422, Key Deselected, B, never too rich and never too thin, ne
10439, Key Deselected, B, never too rich and never too thin, ne
10455, Key Deselected, B, never too rich and never too thin, ne
10459, Key Selected, V, never too rich and never too thin, ne
10471, Key Deselected, V, never too rich and never too thin, ne
11019, Key Press, V, never too rich and never too thin, ne
11221, Pause Ended, V, never too rich and never too thin, nev
11237, Key Selected, V, never too rich and never too thin, nev
11603, Key Deselected, V, never too rich and never too thin, nev
11607, Key Selected, E, never too rich and never too thin, nev
11636, Key Deselected, E, never too rich and never too thin, nev
11640, Key Selected, W, never too rich and never too thin, nev
11770, Key Deselected, W, never too rich and never too thin, nev
11787, Key Deselected, W, never too rich and never too thin, nev
11801, Key Deselected, W, never too rich and never too thin, nev
11819, Key Deselected, W, never too rich and never too thin, nev
11837, Key Deselected, W, never too rich and never too thin, nev
11852, Key Deselected, W, never too rich and never too thin, nev
11868, Key Deselected, W, never too rich and never too thin, nev
11885, Key Deselected, W, never too rich and never too thin, nev
11901, Key Deselected, W, never too rich and never too thin, nev
11919, Key Deselected, W, never too rich and never too thin, nev
11936, Key Deselected, W, never too rich and never too thin, nev
11952, Key Deselected, W, never too rich and never too thin, nev
11968, Key Deselected, W, never too rich and never too thin, nev
11985, Key Deselected, W, never too rich and never too thin, nev
12000, Key Deselected, W, never too rich and never too thin, nev
12018, Key Deselected, W, never too rich and never too thin, nev
12020, Key Selected, E, never too rich and never too thin, nev
12301, Key Deselected, E, never too rich and never too thin, nev
12318, Key Deselected, E, never too rich and never too thin, nev
12333, Key Deselected, E, never too rich and never too thin, nev
12350, Key Deselected, E, never too rich and never too thin, nev
12366, Key Deselected, E, never too rich and never too thin, nev
12384, Key Deselected, E, never too rich and never too thin, nev
12400, Key Deselected, E, never too rich and never too thin, nev
12418, Key Deselected, E, never too rich and never too thin, nev
12434, Key Deselected, E, never too rich and never too thin, nev
12437, Key Selected, S, never too rich and never too thin, nev
12467, Key Deselected, S, never too rich and never too thin, nev
12470, Key Selected, R, never too rich and never too thin, nev
12803, Key Deselected, R, never too rich and never too thin, nev
12807, Key Selected, E, never too rich and never too thin, nev
12817, Key Deselected, E, never too rich and never too thin, nev
12819, Key Selected, W, never too rich and never too thin, nev
12833, Key Deselected, W, never too rich and never too thin, nev
12851, Key Deselected, W, never too rich and never too thin, nev
12867, Key Deselected, W, never too rich and never too thin, nev
12885, Key Deselected, W, never too rich and never too thin, nev
12900, Key Deselected, W, never too rich and never too thin, nev
12918, Key Deselected, W, never too rich and never too thin, nev
12934, Key Deselected, W, never too rich and never too thin, nev
12951, Key Deselected, W, never too rich and never too thin, nev
12967, Key Deselected, W, never too rich and never too thin, nev
12984, Key Deselected, W, never too rich and never too thin, nev
13000, Key Deselected, W, never too rich and never too thin, nev
13017, Key Deselected, W, never too rich and never too thin, nev
13034, Key Deselected, W, never too rich and never too thin, nev
13051, Key Deselected, W, never too rich and never too thin, nev
