stim_file,have_break,press_spacebar_instructions,just_pay_attention,sentence_stim,sentence_blocks.thisRepN,sentence_blocks.thisTrialN,sentence_blocks.thisN,sentence_blocks.thisIndex,press_spacebar_instr_loop.thisRepN,press_spacebar_instr_loop.thisTrialN,press_spacebar_instr_loop.thisN,press_spacebar_instr_loop.thisIndex,just_pay_attn_loop.thisRepN,just_pay_attn_loop.thisTrialN,just_pay_attn_loop.thisN,just_pay_attn_loop.thisIndex,sentence_loop.thisRepN,sentence_loop.thisTrialN,sentence_loop.thisN,sentence_loop.thisIndex,letters_loop.thisRepN,letters_loop.thisTrialN,letters_loop.thisN,letters_loop.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textSentenceInstructions.started,textSentenceInstructions.stopped,keySentenceInstructions.keys,keySentenceInstructions.rt,keySentenceInstructions.started,keySentenceInstructions.stopped,last_error_t,visible_sentence,current_character,sentence_type,phase_type,lp_diam,rp_diam,lp_validity,rp_validity,lp_diam_mean,rp_diam_mean,lp_validity_mean,rp_validity_mean,textSentenceTrial.started,textSentenceTrial.stopped,keySentenceTrial.keys,keySentenceTrial.started,keySentenceTrial.stopped,last_error_rt,keySentenceTrial.rt,textBlank500.started,textBlank500.stopped,textSentenceBreak.started,textSentenceBreak.stopped,keySentenceBreak.keys,keySentenceBreak.rt,keySentenceBreak.started,keySentenceBreak.stopped,textAttention.started,textAttention.stopped,keyAttention.keys,keyAttention.rt,keyAttention.started,keyAttention.stopped,textGoodbye.started,textGoodbye.stopped,keyGoodbye.keys,keyGoodbye.started,keyGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,13.041157599999906,None,space,9.25162469999998,13.041157599999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,24.39631929999996,None,space,6.360576700000024,24.39631929999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-999.5,E,E,,sentence_trial,"[3.255462646484375, 3.2487335205078125, 3.2482757568359375, 3.2481231689453125, 3.2519683837890625, 3.26348876953125, 3.2641448974609375, 3.2738037109375, 3.2789306640625, 3.2647705078125, 3.2729949951171875, 3.2938995361328125, 3.2835845947265625, 3.2718658447265625, 3.2968902587890625, 3.3005218505859375, 3.3021697998046875, 3.314849853515625, 3.3138580322265625, 3.310516357421875, 3.3111572265625, 3.3150177001953125, 3.3120269775390625, 3.300994873046875, 3.310516357421875, 3.32684326171875, 3.3196258544921875, 3.312591552734375, 3.32745361328125, 3.3270111083984375]","[2.9315338134765625, 2.94677734375, 2.9442138671875, 2.9327545166015625, 2.9394073486328125, 2.8993072509765625, 2.87725830078125, 2.9252471923828125, 2.94219970703125, 2.9482269287109375, 2.9567108154296875, 2.95703125, 2.9591217041015625, 2.9635162353515625, 2.9672088623046875, 2.9701385498046875, 3.0666351318359375, 3.089111328125, 2.9701690673828125, 2.9671630859375, 2.954864501953125, 2.9477081298828125, 2.9521942138671875, 2.9557037353515625, 2.96624755859375, 2.966949462890625, 2.966888427734375, 2.964202880859375, 2.9609527587890625, 2.95538330078125]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.2907363891601564,2.958160909016927,1.0,1.0,30.806069399999956,None,None,30.806069399999956,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,-999.0,Ey,y,,sentence_trial,"[3.3992767333984375, 3.3388519287109375, 3.3466796875, 3.36004638671875, 3.3663482666015625, 3.3636932373046875, 3.3582305908203125, 3.3668365478515625, 3.384674072265625, 3.3957366943359375, 3.3853759765625, 3.3851318359375, 3.3800506591796875, 3.37158203125, 3.382843017578125, 3.3885955810546875, 3.3903656005859375, 3.384033203125, 3.360443115234375, 3.3568115234375, 3.370452880859375, 3.3679046630859375, 3.3573455810546875, 3.35589599609375, 3.356781005859375, 3.4359893798828125, 3.4262542724609375, 3.4262542724609375, nan]","[2.9583740234375, 2.9666595458984375, 2.984649658203125, 2.991943359375, 2.98876953125, 2.9940948486328125, 2.98089599609375, 2.983489990234375, 2.9946136474609375, 2.9821014404296875, 2.983154296875, 3.0036773681640625, 2.9948272705078125, 2.984649658203125, 2.9947509765625, 3.01239013671875, 3.005157470703125, 3.0015411376953125, 3.012786865234375, 3.000244140625, 2.98870849609375, 2.9705352783203125, 2.96112060546875, 2.9825897216796875, 2.9969329833984375, 2.9911651611328125, 2.991119384765625, 2.9650421142578125, 2.947296142578125]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",nan,2.9866648706896552,0.9655172413793104,1.0,31.32233569999994,None,None,31.32233569999994,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,-998.5,Eye,e,,sentence_trial,"[3.2920989990234375, 3.3357696533203125, 3.340667724609375, 3.344818115234375, 3.347808837890625, 3.3563690185546875, 3.4661712646484375, 3.430938720703125, 3.430938720703125, nan, 3.2911834716796875, 3.32855224609375, 3.3768463134765625, 3.3988494873046875, 3.39666748046875, 3.3946533203125, 3.40625, 3.417388916015625, 3.4251708984375, 3.45574951171875, 3.590728759765625, 3.48773193359375, 3.426483154296875, 3.435699462890625, 3.435333251953125, 3.4428558349609375, 3.5367889404296875, 3.524749755859375, 3.4282073974609375, 3.42034912109375]","[2.9589080810546875, 2.9639739990234375, 2.9771728515625, 2.9818267822265625, 2.9857330322265625, 2.9941253662109375, 2.98431396484375, 2.971710205078125, 2.977447509765625, 2.98284912109375, 3.00189208984375, 3.0024261474609375, 2.999908447265625, 3.01141357421875, 3.0182952880859375, 3.0059967041015625, 2.9982452392578125, 3.0014801025390625, 3.02459716796875, 3.0434417724609375, 3.053436279296875, 3.0523529052734375, 3.0485076904296875, 3.0539703369140625, 3.1891937255859375, 3.184722900390625, 3.047515869140625, 3.060028076171875, 3.064361572265625, 3.049346923828125]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",nan,3.022973124186198,0.9666666666666667,1.0,31.806243699999982,None,None,31.806243699999982,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,-998.0,Eye-,-,,sentence_trial,"[3.4231719970703125, 3.4244537353515625, 3.42474365234375, 3.4247283935546875, 3.4259033203125, 3.4125823974609375, 3.4636993408203125, 3.508209228515625, 3.4280853271484375, 3.424468994140625, 3.4011077880859375, 3.4159393310546875, 3.4519195556640625, 3.4519195556640625, 3.5482330322265625, 3.52838134765625, 3.52838134765625, nan, nan, nan, nan, nan, 3.4589385986328125, 3.51104736328125, 3.51434326171875, 3.51434326171875, 3.58819580078125, 3.621490478515625, 3.5303955078125, 3.506439208984375]","[3.0503692626953125, 3.0465087890625, 3.04205322265625, 3.050018310546875, 3.0469512939453125, 3.0439453125, 3.1836395263671875, 3.187713623046875, 3.0500946044921875, 3.0385284423828125, 3.04156494140625, 3.0444488525390625, 3.04449462890625, 3.04449462890625, 3.17633056640625, 3.16815185546875, 3.0704193115234375, 3.083099365234375, 3.0894622802734375, 3.076934814453125, 3.1727294921875, 3.1793975830078125, 3.099761962890625, 3.118194580078125, 3.1067962646484375, 3.1067962646484375, 3.1171875, 3.124359130859375, 3.1311798095703125, 3.127288818359375]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",nan,3.0954305013020833,0.8333333333333334,1.0,32.305794799999944,None,None,32.305794799999944,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,-997.5,Eye-t,t,,sentence_trial,"[3.5037078857421875, 3.533905029296875, 3.638916015625, 3.5614166259765625, 3.5614166259765625, nan, nan, nan, 3.4922027587890625, 3.52752685546875, 3.531524658203125, 3.531524658203125, 3.590240478515625, 3.597991943359375, 3.532012939453125, 3.530426025390625, 3.5233001708984375, 3.522979736328125, 3.5411529541015625, 3.5411529541015625, 3.6302337646484375, 3.65948486328125, 3.55511474609375, 3.55841064453125, 3.5639495849609375, 3.54058837890625, 3.5344085693359375, 3.542572021484375, 3.540069580078125, 3.5237274169921875]","[3.1331634521484375, 3.1380462646484375, 3.2678985595703125, 3.2745819091796875, 3.2745819091796875, nan, 3.088592529296875, 3.139312744140625, 3.1284332275390625, 3.11541748046875, 3.0929107666015625, 3.0929107666015625, 3.235321044921875, 3.2240142822265625, 3.1256103515625, 3.1424560546875, 3.140625, 3.13720703125, 3.1363525390625, 3.1363525390625, 3.1275177001953125, 3.1306304931640625, 3.1313934326171875, 3.149139404296875, 3.1369781494140625, 3.127685546875, 3.1067962646484375, 3.122528076171875, 3.135162353515625, 3.122955322265625]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",nan,nan,0.9,0.9666666666666667,32.80499939999993,None,None,32.80499939999993,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,-997.0,Eye-tr,r,,sentence_trial,"[3.5197906494140625, 3.5473480224609375, 3.5442962646484375, 3.529632568359375, 3.5269622802734375, 3.53460693359375, 3.5392303466796875, 3.5392303466796875, 3.64581298828125, 3.6035919189453125, 3.53387451171875, 3.5334320068359375, 3.601715087890625, 3.6085968017578125, 3.5332489013671875, 3.527557373046875, 3.5329132080078125, 3.5329132080078125, 3.531829833984375, 3.5324554443359375, 3.526824951171875, 3.516082763671875, 3.5172576904296875, 3.5172576904296875, 3.5321807861328125, 3.5295867919921875, 3.5274810791015625, 3.5274810791015625, 3.5135955810546875, 3.5193939208984375]","[3.1180267333984375, 3.101837158203125, 3.09991455078125, 3.1040802001953125, 3.11981201171875, 3.120269775390625, 3.1104888916015625, 3.1104888916015625, 3.115875244140625, 3.1077880859375, 3.24127197265625, 3.2423248291015625, 3.0831451416015625, 3.0627899169921875, 3.093658447265625, 3.109344482421875, 3.102081298828125, 3.102081298828125, 3.102203369140625, 3.0905914306640625, 3.0755767822265625, 3.0819091796875, 3.095977783203125, 3.095977783203125, 3.1020355224609375, 3.10211181640625, 3.0899658203125, 3.0899658203125, 3.0801849365234375, 3.07757568359375]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.5408727010091146,3.1076451619466146,1.0,1.0,33.304614000000015,None,None,33.304614000000015,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,-996.5,Eye-tra,a,,sentence_trial,"[3.51336669921875, 3.5113677978515625, 3.51361083984375, 3.4968719482421875, 3.4879608154296875, 3.4899749755859375, 3.486297607421875, 3.474395751953125, 3.465087890625, 3.4813079833984375, 3.47802734375, 3.476654052734375, 3.4774932861328125, 3.4774932861328125, 3.4480743408203125, 3.460968017578125, 3.4616241455078125, 3.4616241455078125, 3.46649169921875, 3.485565185546875, 3.4790496826171875, 3.4542236328125, 3.4595489501953125, 3.4595489501953125, 3.4701995849609375, 3.4722747802734375, 3.4832611083984375, 3.4832611083984375, 3.48907470703125, 3.48907470703125]","[3.0950164794921875, 3.0928192138671875, 3.083282470703125, 3.0916595458984375, 3.08544921875, 3.0735931396484375, 3.06378173828125, 3.0639190673828125, 3.0707855224609375, 3.0721435546875, 3.0629119873046875, 3.0565948486328125, 3.0511474609375, 3.0511474609375, 3.1527862548828125, 3.2267913818359375, 3.0729827880859375, 3.0729827880859375, 3.1999053955078125, 3.1712646484375, 3.0448760986328125, 3.0541534423828125, 3.046539306640625, 3.046539306640625, 3.049713134765625, 3.0677947998046875, 3.0655670166015625, 3.0655670166015625, 3.0837249755859375, 3.0837249755859375]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.4784591674804686,3.08397216796875,1.0,1.0,33.80440439999995,None,None,33.80440439999995,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,-996.0,Eye-trac,c,,sentence_trial,"[3.5869903564453125, 3.587188720703125, 3.587188720703125, nan, 3.462432861328125, 3.462432861328125, 3.5163421630859375, 3.5163421630859375, 3.5129852294921875, 3.478240966796875, 3.49285888671875, 3.49285888671875, 3.4424591064453125, 3.4424591064453125, 3.4594268798828125, 3.4594268798828125, 3.5572967529296875, 3.543792724609375, 3.543792724609375, 3.4197845458984375, 3.4671783447265625, 3.4671783447265625, 3.4561004638671875, 3.44610595703125, 3.434417724609375, 3.434417724609375, 3.437042236328125, 3.437042236328125, 3.453094482421875, 3.453094482421875]","[3.086029052734375, 3.0878753662109375, 3.08154296875, 3.0763397216796875, 3.0900115966796875, 3.0900115966796875, 3.0762939453125, 3.0762939453125, 3.094879150390625, 3.082183837890625, 3.2495880126953125, 3.2495880126953125, 3.042022705078125, 3.042022705078125, 3.0573883056640625, 3.0573883056640625, 3.067169189453125, 3.078765869140625, 3.078765869140625, 3.0654296875, 3.04010009765625, 3.04010009765625, 3.0342864990234375, 3.035125732421875, 3.0302581787109375, 3.0302581787109375, 3.016693115234375, 3.016693115234375, 3.0199432373046875, 3.0199432373046875]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",nan,3.0704330444335937,0.9666666666666667,1.0,34.303775799999926,None,None,34.303775799999926,None,,,,,,,,,,,,,,,,,,,,,,Letters,001,2022_Jun_16_1127,ErrorStudy_v1,2021.2.3,60.00373223214496,
