, gaze point, , gaze point validity, , pupil size, , pupil validity
time, X, Y, L, R, L, R, L, R
4286, nan, nan, 0, 0, nan, nan, 0, 0
4301, nan, nan, 0, 0, nan, nan, 0, 0
4317, nan, nan, 0, 0, nan, nan, 0, 0
4333, nan, nan, 0, 0, nan, nan, 0, 0
4348, nan, nan, 0, 0, nan, nan, 0, 0
4364, nan, nan, 0, 0, nan, nan, 0, 0
4379, nan, nan, 0, 0, nan, nan, 0, 0
4395, nan, nan, 0, 0, nan, nan, 0, 0
4411, nan, nan, 0, 0, nan, nan, 0, 0
4426, nan, nan, 0, 0, nan, nan, 0, 0
4442, nan, nan, 0, 0, nan, nan, 0, 0
4458, nan, nan, 0, 0, nan, nan, 0, 0
4489, nan, nan, 0, 0, nan, nan, 0, 0
4489, nan, nan, 0, 0, nan, nan, 0, 0
4520, nan, nan, 0, 0, nan, nan, 0, 0
4536, nan, nan, 0, 0, nan, nan, 0, 0
4551, nan, nan, 0, 0, nan, nan, 0, 0
4567, nan, nan, 0, 0, nan, nan, 0, 0
4583, nan, nan, 0, 0, nan, nan, 0, 0
4598, nan, nan, 0, 0, nan, nan, 0, 0
4614, nan, nan, 0, 0, nan, nan, 0, 0
4629, nan, nan, 0, 0, nan, nan, 0, 0
4645, nan, nan, 0, 0, nan, nan, 0, 0
4661, nan, nan, 0, 0, nan, nan, 0, 0
4676, nan, nan, 0, 0, nan, nan, 0, 0
4692, nan, nan, 0, 0, nan, nan, 0, 0
4708, nan, nan, 0, 0, nan, nan, 0, 0
4723, nan, nan, 0, 0, nan, nan, 0, 0
4754, nan, nan, 0, 0, nan, nan, 0, 0
4770, nan, nan, 0, 0, nan, nan, 0, 0
4786, nan, nan, 0, 0, nan, nan, 0, 0
4801, nan, nan, 0, 0, nan, nan, 0, 0
4817, nan, nan, 0, 0, nan, nan, 0, 0
4833, nan, nan, 0, 0, nan, nan, 0, 0
4848, nan, nan, 0, 0, nan, nan, 0, 0
4864, nan, nan, 0, 0, nan, nan, 0, 0
4879, nan, nan, 0, 0, nan, nan, 0, 0
4895, nan, nan, 0, 0, nan, nan, 0, 0
4911, nan, nan, 0, 0, nan, nan, 0, 0
4926, nan, nan, 0, 0, nan, nan, 0, 0
4942, nan, nan, 0, 0, nan, nan, 0, 0
4958, nan, nan, 0, 0, nan, nan, 0, 0
4989, nan, nan, 0, 0, nan, nan, 0, 0
4989, nan, nan, 0, 0, nan, nan, 0, 0
5020, nan, nan, 0, 0, nan, nan, 0, 0
5036, nan, nan, 0, 0, nan, nan, 0, 0
5051, nan, nan, 0, 0, nan, nan, 0, 0
5067, nan, nan, 0, 0, nan, nan, 0, 0
5083, nan, nan, 0, 0, nan, nan, 0, 0
5098, nan, nan, 0, 0, nan, nan, 0, 0
5114, nan, nan, 0, 0, nan, nan, 0, 0
5129, nan, nan, 0, 0, nan, nan, 0, 0
5145, nan, nan, 0, 0, nan, nan, 0, 0
5161, nan, nan, 0, 0, nan, nan, 0, 0
5176, nan, nan, 0, 0, nan, nan, 0, 0
5192, nan, nan, 0, 0, nan, nan, 0, 0
5208, nan, nan, 0, 0, nan, nan, 0, 0
5223, nan, nan, 0, 0, nan, nan, 0, 0
5254, nan, nan, 0, 0, nan, nan, 0, 0
5254, nan, nan, 0, 0, nan, nan, 0, 0
5286, nan, nan, 0, 0, nan, nan, 0, 0
5301, nan, nan, 0, 0, nan, nan, 0, 0
5317, nan, nan, 0, 0, nan, nan, 0, 0
5333, nan, nan, 0, 0, nan, nan, 0, 0
5348, nan, nan, 0, 0, nan, nan, 0, 0
5364, nan, nan, 0, 0, nan, nan, 0, 0
5379, nan, nan, 0, 0, nan, nan, 0, 0
5395, nan, nan, 0, 0, nan, nan, 0, 0
5411, nan, nan, 0, 0, nan, nan, 0, 0
5426, nan, nan, 0, 0, nan, nan, 0, 0
5442, nan, nan, 0, 0, nan, nan, 0, 0
5458, nan, nan, 0, 0, nan, nan, 0, 0
5489, nan, nan, 0, 0, nan, nan, 0, 0
5489, nan, nan, 0, 0, nan, nan, 0, 0
5520, nan, nan, 0, 0, nan, nan, 0, 0
5536, nan, nan, 0, 0, nan, nan, 0, 0
5551, nan, nan, 0, 0, nan, nan, 0, 0
5567, nan, nan, 0, 0, nan, nan, 0, 0
5583, nan, nan, 0, 0, nan, nan, 0, 0
5598, nan, nan, 0, 0, nan, nan, 0, 0
5614, nan, nan, 0, 0, nan, nan, 0, 0
5629, nan, nan, 0, 0, nan, nan, 0, 0
5645, nan, nan, 0, 0, nan, nan, 0, 0
5661, nan, nan, 0, 0, nan, nan, 0, 0
5676, nan, nan, 0, 0, nan, nan, 0, 0
5692, nan, nan, 0, 0, nan, nan, 0, 0
5723, nan, nan, 0, 0, nan, nan, 0, 0
5723, nan, nan, 0, 0, nan, nan, 0, 0
5754, nan, nan, 0, 0, nan, nan, 0, 0
5754, nan, nan, 0, 0, nan, nan, 0, 0
5786, nan, nan, 0, 0, nan, nan, 0, 0
5801, nan, nan, 0, 0, nan, nan, 0, 0
5817, nan, nan, 0, 0, nan, nan, 0, 0
5833, nan, nan, 0, 0, nan, nan, 0, 0
5848, nan, nan, 0, 0, nan, nan, 0, 0
5864, nan, nan, 0, 0, nan, nan, 0, 0
5879, nan, nan, 0, 0, nan, nan, 0, 0
5895, nan, nan, 0, 0, nan, nan, 0, 0
5911, nan, nan, 0, 0, nan, nan, 0, 0
5926, nan, nan, 0, 0, nan, nan, 0, 0
5942, nan, nan, 0, 0, nan, nan, 0, 0
5958, nan, nan, 0, 0, nan, nan, 0, 0
5973, nan, nan, 0, 0, nan, nan, 0, 0
5989, nan, nan, 0, 0, nan, nan, 0, 0
6020, nan, nan, 0, 0, nan, nan, 0, 0
6036, nan, nan, 0, 0, nan, nan, 0, 0
6051, nan, nan, 0, 0, nan, nan, 0, 0
6067, nan, nan, 0, 0, nan, nan, 0, 0
6083, nan, nan, 0, 0, nan, nan, 0, 0
6098, nan, nan, 0, 0, nan, nan, 0, 0
6114, nan, nan, 0, 0, nan, nan, 0, 0
6129, nan, nan, 0, 0, nan, nan, 0, 0
6145, nan, nan, 0, 0, nan, nan, 0, 0
6161, nan, nan, 0, 0, nan, nan, 0, 0
6176, nan, nan, 0, 0, nan, nan, 0, 0
6192, nan, nan, 0, 0, nan, nan, 0, 0
6208, nan, nan, 0, 0, nan, nan, 0, 0
6223, nan, nan, 0, 0, nan, nan, 0, 0
6254, nan, nan, 0, 0, nan, nan, 0, 0
6254, nan, nan, 0, 0, nan, nan, 0, 0
6286, nan, nan, 0, 0, nan, nan, 0, 0
6301, nan, nan, 0, 0, nan, nan, 0, 0
6317, nan, nan, 0, 0, nan, nan, 0, 0
6333, nan, nan, 0, 0, nan, nan, 0, 0
6348, nan, nan, 0, 0, nan, nan, 0, 0
6364, nan, nan, 0, 0, nan, nan, 0, 0
6379, nan, nan, 0, 0, nan, nan, 0, 0
6395, nan, nan, 0, 0, nan, nan, 0, 0
6411, nan, nan, 0, 0, nan, nan, 0, 0
6426, nan, nan, 0, 0, nan, nan, 0, 0
6442, nan, nan, 0, 0, nan, nan, 0, 0
6458, nan, nan, 0, 0, nan, nan, 0, 0
6473, nan, nan, 0, 0, nan, nan, 0, 0
6489, nan, nan, 0, 0, nan, nan, 0, 0
6520, nan, nan, 0, 0, nan, nan, 0, 0
6536, nan, nan, 0, 0, nan, nan, 0, 0
6551, nan, nan, 0, 0, nan, nan, 0, 0
6567, nan, nan, 0, 0, nan, nan, 0, 0
6583, nan, nan, 0, 0, nan, nan, 0, 0
6598, nan, nan, 0, 0, nan, nan, 0, 0
6614, nan, nan, 0, 0, nan, nan, 0, 0
6629, nan, nan, 0, 0, nan, nan, 0, 0
6645, nan, nan, 0, 0, nan, nan, 0, 0
6661, nan, nan, 0, 0, nan, nan, 0, 0
6676, nan, nan, 0, 0, nan, nan, 0, 0
6692, nan, nan, 0, 0, nan, nan, 0, 0
6708, nan, nan, 0, 0, nan, nan, 0, 0
6723, nan, nan, 0, 0, nan, nan, 0, 0
6754, nan, nan, 0, 0, nan, nan, 0, 0
6770, nan, nan, 0, 0, nan, nan, 0, 0
6786, nan, nan, 0, 0, nan, nan, 0, 0
6801, nan, nan, 0, 0, nan, nan, 0, 0
6817, nan, nan, 0, 0, nan, nan, 0, 0
6833, nan, nan, 0, 0, nan, nan, 0, 0
6848, nan, nan, 0, 0, nan, nan, 0, 0
6864, nan, nan, 0, 0, nan, nan, 0, 0
6879, nan, nan, 0, 0, nan, nan, 0, 0
6895, nan, nan, 0, 0, nan, nan, 0, 0
6911, nan, nan, 0, 0, nan, nan, 0, 0
6926, nan, nan, 0, 0, nan, nan, 0, 0
6942, nan, nan, 0, 0, nan, nan, 0, 0
6958, nan, nan, 0, 0, nan, nan, 0, 0
6973, nan, nan, 0, 0, nan, nan, 0, 0
6989, nan, nan, 0, 0, nan, nan, 0, 0
7020, nan, nan, 0, 0, nan, nan, 0, 0
7036, nan, nan, 0, 0, nan, nan, 0, 0
7051, nan, nan, 0, 0, nan, nan, 0, 0
7067, nan, nan, 0, 0, nan, nan, 0, 0
7083, nan, nan, 0, 0, nan, nan, 0, 0
7098, nan, nan, 0, 0, nan, nan, 0, 0
7114, nan, nan, 0, 0, nan, nan, 0, 0
7129, nan, nan, 0, 0, nan, nan, 0, 0
7145, nan, nan, 0, 0, nan, nan, 0, 0
7161, nan, nan, 0, 0, nan, nan, 0, 0
7176, nan, nan, 0, 0, nan, nan, 0, 0
7192, nan, nan, 0, 0, nan, nan, 0, 0
7208, nan, nan, 0, 0, nan, nan, 0, 0
7223, nan, nan, 0, 0, nan, nan, 0, 0
7254, nan, nan, 0, 0, nan, nan, 0, 0
7254, nan, nan, 0, 0, nan, nan, 0, 0
7286, nan, nan, 0, 0, nan, nan, 0, 0
7301, nan, nan, 0, 0, nan, nan, 0, 0
7317, nan, nan, 0, 0, nan, nan, 0, 0
7333, nan, nan, 0, 0, nan, nan, 0, 0
7348, nan, nan, 0, 0, nan, nan, 0, 0
7364, nan, nan, 0, 0, nan, nan, 0, 0
7379, nan, nan, 0, 0, nan, nan, 0, 0
7395, nan, nan, 0, 0, nan, nan, 0, 0
7411, nan, nan, 0, 0, nan, nan, 0, 0
7426, nan, nan, 0, 0, nan, nan, 0, 0
7442, nan, nan, 0, 0, nan, nan, 0, 0
7458, nan, nan, 0, 0, nan, nan, 0, 0
7473, nan, nan, 0, 0, nan, nan, 0, 0
7489, nan, nan, 0, 0, nan, nan, 0, 0
7504, nan, nan, 0, 0, nan, nan, 0, 0
7520, nan, nan, 0, 0, nan, nan, 0, 0
7536, nan, nan, 0, 0, nan, nan, 0, 0
7567, nan, nan, 0, 0, nan, nan, 0, 0
7583, nan, nan, 0, 0, nan, nan, 0, 0
7598, nan, nan, 0, 0, nan, nan, 0, 0
7614, nan, nan, 0, 0, nan, nan, 0, 0
7629, nan, nan, 0, 0, nan, nan, 0, 0
7645, nan, nan, 0, 0, nan, nan, 0, 0
7661, nan, nan, 0, 0, nan, nan, 0, 0
7676, nan, nan, 0, 0, nan, nan, 0, 0
7692, nan, nan, 0, 0, nan, nan, 0, 0
7708, nan, nan, 0, 0, nan, nan, 0, 0
7723, nan, nan, 0, 0, nan, nan, 0, 0
7739, nan, nan, 0, 0, nan, nan, 0, 0
7754, nan, nan, 0, 0, nan, nan, 0, 0
7770, nan, nan, 0, 0, nan, nan, 0, 0
7786, nan, nan, 0, 0, nan, nan, 0, 0
7801, nan, nan, 0, 0, nan, nan, 0, 0
7833, nan, nan, 0, 0, nan, nan, 0, 0
7848, nan, nan, 0, 0, nan, nan, 0, 0
7864, nan, nan, 0, 0, nan, nan, 0, 0
7879, nan, nan, 0, 0, nan, nan, 0, 0
7895, nan, nan, 0, 0, nan, nan, 0, 0
7911, nan, nan, 0, 0, nan, nan, 0, 0
7926, nan, nan, 0, 0, nan, nan, 0, 0
7942, nan, nan, 0, 0, nan, nan, 0, 0
7958, nan, nan, 0, 0, nan, nan, 0, 0
7973, nan, nan, 0, 0, nan, nan, 0, 0
7989, nan, nan, 0, 0, nan, nan, 0, 0
8004, nan, nan, 0, 0, nan, nan, 0, 0
8020, nan, nan, 0, 0, nan, nan, 0, 0
8036, nan, nan, 0, 0, nan, nan, 0, 0
8051, nan, nan, 0, 0, nan, nan, 0, 0
8083, nan, nan, 0, 0, nan, nan, 0, 0
8098, nan, nan, 0, 0, nan, nan, 0, 0
8114, nan, nan, 0, 0, nan, nan, 0, 0
8129, nan, nan, 0, 0, nan, nan, 0, 0
8145, nan, nan, 0, 0, nan, nan, 0, 0
8161, nan, nan, 0, 0, nan, nan, 0, 0
8176, nan, nan, 0, 0, nan, nan, 0, 0
8192, nan, nan, 0, 0, nan, nan, 0, 0
8208, nan, nan, 0, 0, nan, nan, 0, 0
8223, nan, nan, 0, 0, nan, nan, 0, 0
8239, nan, nan, 0, 0, nan, nan, 0, 0
8254, nan, nan, 0, 0, nan, nan, 0, 0
8270, nan, nan, 0, 0, nan, nan, 0, 0
8286, nan, nan, 0, 0, nan, nan, 0, 0
8301, nan, nan, 0, 0, nan, nan, 0, 0
8333, nan, nan, 0, 0, nan, nan, 0, 0
8348, nan, nan, 0, 0, nan, nan, 0, 0
8364, nan, nan, 0, 0, nan, nan, 0, 0
8379, nan, nan, 0, 0, nan, nan, 0, 0
8395, nan, nan, 0, 0, nan, nan, 0, 0
8411, nan, nan, 0, 0, nan, nan, 0, 0
8426, nan, nan, 0, 0, nan, nan, 0, 0
8442, nan, nan, 0, 0, nan, nan, 0, 0
8458, nan, nan, 0, 0, nan, nan, 0, 0
